symbol,t,o,h,l,c,v
HDFC,983232000,57.4,59.7,57.4,59.13,1927790
HDFC,983318400,59.7,62.1,58.68,59.35,7308190
HDFC,983404800,60.48,60.9,58.61,59.85,3468220
HDFC,983491200,60.5,60.8,55.3,55.61,2408840
HDFC,983750400,55.51,57.4,51.64,52.62,2452810
HDFC,983923200,54.9,55,53,54.41,1049120
HDFC,984009600,54.8,54.8,53.7,54.08,618620
HDFC,984096000,53.11,55,51.13,54.04,833990
HDFC,984355200,54.03,55.9,54,54.51,931680
HDFC,984441600,53.51,55.3,53,54.6,1463510
HDFC,984528000,51.1,60.32,51.1,59.4,814590
HDFC,984614400,59,60,56.23,57.27,373230
HDFC,984700800,56.6,58.8,56,57.19,447950
HDFC,984960000,57.2,57.4,56.4,56.95,151460
HDFC,985046400,56.95,56.95,55.4,55.68,247290
HDFC,985132800,55.65,57.99,54.85,56.88,321560
HDFC,985219200,57.2,58.9,57.2,58.64,592290
HDFC,985305600,58.6,59,58.4,58.62,683870
HDFC,985564800,58.4,58.6,57.5,57.89,139560
HDFC,985651200,58,58.9,57.8,58.67,219800
HDFC,985737600,58.8,59.19,57.26,57.43,107230
HDFC,985824000,57,57.49,56.33,56.72,156150
HDFC,985910400,56.9,56.9,54.11,54.64,355110
HDFC,986169600,54.1,57.4,52,56.84,902810
HDFC,986256000,56.3,58.69,56.3,57.84,596920
HDFC,986342400,57,57.4,55.52,56.05,136320
HDFC,986515200,57,58,55.8,56.05,147880
HDFC,986774400,56,56.35,55.01,55.26,89450
HDFC,986860800,55.4,56.05,54.75,55.02,176170
HDFC,986947200,55.8,55.8,54.12,55.14,203870
HDFC,987033600,54.3,57.5,53.91,55.53,869840
HDFC,987379200,55.8,58.78,55.4,58.5,691130
HDFC,987465600,58.6,60,58.6,59.5,701400
HDFC,987552000,57.6,59.5,57.17,57.7,297180
HDFC,987638400,58.5,59,56.43,57.12,269710
HDFC,987724800,57.01,57.99,53.51,56.96,139290
HDFC,987984000,57.2,58.6,57.2,58.35,352230
